Surname,"First Name","Second Name",Gender,"Date Of Birth","Address 1","Address 2","Mobile Number","Email Address","State Of Origin","Local Goverment Area",Town/Village,University,Faculty,Course,"Type Of Programme","Year Of Study",IOC/NOC,JAMB,CGPA,"Test Venue1","Test Venue2"
ashvin,mak,makvana,male,2015-10-15,"United States District Court","	Los Angeles",9999,999999,"Anambra State",Ohafia,"CA 90012",,,"Electronics and Computer Technology ",,"First Year",,256,"6.3 / 4 Points",Enugu,Ibadan
ashvin,makvana,m,male,2015-10-15,"heart villa",Ahmedabad,5555555555,maks@gmail.com,"Anambra State",Anaocha,,,,,,"First Year",,250,"2.7 / 4 Points",,
hardik,das,kjkj,female,2015-10-15,dfdsf,,95968778954,mask@fjk.dfdf,"Anambra State",Kuje,village,,,,,"First Year",,230,"2.6 / 4 Points",,
Makvana,Ashvin,M,male,2015-10-15,"Sapath hexa",,444444444,maks@gmail.com,"Anambra State","Ndokwa West",Ahmedabad,,"Medical, Pharmaceutical and Health Sciences","Electronics and Computer Technology ","Full Time","Third Year",yes,210,NA,Benin,Benin
e,ertert,erterterter,female,2015-10-15,ertre,,555,fhfh@yhty.ftgy,"Cross River State","Calabar South",treter,,,,,"First Year",,,"2.6 / 4 Points",,
Makvana,Ashvin,M,male,2015-10-06,Ahmedabad,,+2348989898989,jdfid@hff.dfo,"Anambra State",Okpe,test,"Adekunle Ajasin University, Akungba-Akoko, Ondo",,"Applied Chemistry","Part Time","Third Year",no,230,"2.6 / 7 Points",Enugu,Ibadan
ashvin,m,m989,male,2015-10-06,etewr,,+2349898988989,maskd2@gmail.com,"Gombe State",Gombe,"village name","Cross River University of Technology, Calabar ",,"Applied Botany","Part Time","Fourth Year",no,250,"2.6 / 4 Points",,
Mark,Zumer,Birg,male,2015-10-05,"Loss Angels",UK,+2348988988989,burg@gmail.com,"Anambra State",Ganye,"Shayona Green","Cross River University of Technology, Calabar ","Arts and Humanities","Applied Geology","Full Time","Third Year",no,555,NA,Ibadan,Benin
ashvin11,name11,seonndname111,female,2015-10-27,address1111111,address2111111,+2348988988989,burg1@gmail.com,"Adamawa State","Mubi North",village,"Ignatius Ajuru University of Education, Port Harcourt.",,"Applied Biology","Part Time","Third Year",no,555,"5.54 / 4 Points",Bauchi,Ibadan
adsadasd,name,seonndname,male,2015-10-28,"dgfdgdf-dgfd_gf.gdfg,-",ahmedabad,+2344444444444,maks.ashvin03111@gmail.com,"Bauchi State",Kirfi,123,"Bauchi State University, Gadau",Administration,Banking/Finance,"Full Time","Second Year",no,400,"3.55 / 4 Points",Owerri,Bauchi
zala,bhaskar,R,male,1993-08-27,Ahmedabad,"Ahmedabad City.",+2341231231234,bhaskar@gmail.com,"Anambra State",,,,,,,,,230,"2.6 / 4 Points",,
zala,bhaskar,R,male,2015-10-21,fdsfsdfs,dfsfsdfsdfs,+2341511414441,zxdc@gmail.com,"Anambra State",,,,,,,,,230,NA,,
p,bansari,m,female,1986-06-03,"A -206 , shapath hexa complex","Opp. Sola high court",+2344564564561,dgfdg@gmail.com,"Anambra State",,,,,,,,,230,"2.6 / 4 Points",,
p,bansari,m,female,1986-06-03,"A -206 , shapath hexa complex","Opp. Sola high court",+2344564564561,bansaripatel17@gmail.com,"Anambra State",Garki,,"Gombe State University,Gombe",Science,"Cell Biology and Genetics","Full Time","Second Year",yes,230,"2.6 / 4 Points",,
" p",p,p,male,2015-10-11,p,p,+2342311232312,dpatel@dasinfomedia.com,"Anambra State",,,,,,,,,230,"2.6 / 4 Points",,
demo,dem,rewr,male,2015-10-06,erwer,,+2348888888888,demo@gmail.com,"Anambra State","Esan South-East",test,"Ekiti State University, Ado-Ekiti.","Arts and Humanities","Drama/Dramatic Arts/Performing Arts/ Theatre Arts","Part Time",,no,300,"2.6 / 4 Points",Ibadan,Benin
ashi,iuhi,jb,male,2015-10-22,ewre6yw,,+2348888888888,maks.ashvin03588788@gmail.com,"Anambra State","Oji River",village,"Enugu State University of Science and Technology, Enugu.","Arts and Humanities","Arabic Language and literature","Full Time","Third Year",no,300,NA,Owerri,Kaduna
ashvin,skdjasz,knmn,male,2015-10-14,ytutuytutyuytuutu,,+2341234564568,maks.ashvin01113@gmail.com,"Bauchi State",Giade,sdrser,"Gombe State University,Gombe",Education,"Statistics Education","Part Time","Fourth Year",no,250,"3.56 / 4 Points",Benin,Ibadan
Rabada,A,kagiso,male,2015-10-01,"S A","S A",95221483,k.rabada@gmail.com,"Bauchi State",,,,Engineering,"Animal and Environmental Biology",,,,2.60,"3.5 / 4 Points",,
Rabada,D,kagiso,male,2015-10-01,"S A","A S",5115154541,k.rabada@gmail.com,"Bauchi State",Ikwo,"vilage name",,Law,"Common and Islamic Law",,,,250,"2.60 / 4 Points",,
Abc,G,Abac,,0000-00-00,sdfsdfdf,,,,FCT,,,,Engineering,"Food Science and Technology/Engineering","Full Time","Second Year",,260,"2.7 / 4 Points",,
karle,E,Karle,male,0000-00-00,,,,,FCT,,,,Engineering,"Civil Engineering","Full Time","Second Year",,180,"2.9 / 4 Points",,
barly,J,Barly,female,0000-00-00,,,,,FCT,,,,Engineering,"Food Engineering","Full Time","Second Year",,280,"2.9 / 4 Points",,
Dcok,G,Dkok,male,2015-10-06,,,,,FCT,,,,Engineering,"Petrochemical Engineering","Full Time","First Year",,290,NA,,
Devilers,G,Devilers,male,0000-00-00,,,,,FCT,,,,Engineering,"Marine Engineering","Full Time","Second Year",,340,"2.9 / 4 Points",,
Methus,S,methus,male,0000-00-00,,,,,"Gombe State",,,,Engineering,"Accounting Management & Finance","Full Time","Second Year",,320,"2.5 / 4 Points",,
manu,F,Manu,female,0000-00-00,,,,,"Gombe State",,,,"Social & Management Studies",Finance,"Full Time","First Year",,392,"2.8 / 4 Points",,
Ganu,j,Ganu,male,0000-00-00,,,,,"Gombe State",,,,"Social & Management Studies",Entrepreneurship,"Full Time","Second Year",,345,"2.55 / 4 Points",,
chanu,H,Chanu,male,0000-00-00,,,,,"Gombe State",,,,"Social & Management Studies","Geography and Resources Management","Full Time","Second Year",,300,"2.9 / 4 Points",,
Hanu,G,Hanu,female,0000-00-00,,,,,"Adamawa State",,,,"Arts and Humanities","Arabic and Islamic Studies","Full Time","First Year",,200,NA,,
Ranu,G,Ranu,female,0000-00-00,,,,,"Adamawa State",,,,"Arts and Humanities","Classical Studies","Full Time","First Year",,225,NA,,
Ali,Y,Ali,male,0000-00-00,,,,,"Adamawa State",,,,"Medical, Pharmaceutical and Health Sciences","Medical Rehabilitation","Full Time","Second Year",,267,NA,,
Hemu,H,Hemu,male,0000-00-00,,,,,"Adamawa State",,,,"Medical, Pharmaceutical and Health Sciences",Optometry,"Full Time","Second Year",,250,NA,,
nanu,G,Nanu,femle,0000-00-00,,,,,"Akwa Ibom State",,,,"Medical, Pharmaceutical and Health Sciences","Medical Rehabilitation","Full Time","Second Year",,200,NA,,
hasmukh,R,JJJJ,male,0000-00-00,,,,,FCT,,,,Engineering,,"Full Time","Second Year",,200,"2.5 / 4 Points",,
kkk,P,kkk,female,0000-00-00,,,,,FCT,,,,Engineering,,"Full Time","First Year",,230,NA,,
lll,p,lll,male,0000-00-00,,,,,FCT,,,,"Medical, Pharmaceutical and Health Sciences",,"Full Time","Second Year",,210,NA,,
tttt,r,ttt,male,0000-00-00,,,,,FCT,,,,"Arts and Humanities",,"Full Time","Second Year",,190,NA,,
test,tyewa,kjhjh,male,2015-10-14,trsatse,setset,+2349898988989,maks@gmsisls.com,"Bayelsa State",Ogbia,bcbcvb,"Akwa Ibom State University, Ikot-Akpaden.",Education,"Adult Education/English Literature","Full Time","Third Year",no,350,"4.00 / 4 Points",Kaduna,Enugu
sdfsdff,werew,etewt,male,2015-10-01,testse,setset,+2344444444444,maks.ashvin0311@gmail.com,"Bayelsa State",Ogbia,et,"Akwa Ibom State University, Ikot-Akpaden.","Arts and Humanities","Arabic Language and literature","Part Time","Third Year",no,300,NA,Kaduna,Enugu
patel,pravin,P,male,1974-10-09,"Amrail vadi","Amrail vadi two",+2341232224444,bhaskar@dasinfomedia.com,"Akwa Ibom State","Ibesikpo Asutan","village of nembe","Ambros Alli University, Ekpoma, Edo State",Education,"Adult Education","Full Time","Second Year",yes,250,"3.00 / 5 Points",Ibadan,Enugu
sdfs,sdeijfhs,fsdf,male,2015-11-20,ytrt,"fdgdfg4565 btghd2",+2344443333333,dgdgf@ewrtew.drdf,"Ekiti State",Ikole,"fyf-,,_","Ambros Alli University, Ekpoma, Edo State","Arts and Humanities","Arabic and Islamic Studies","Full Time","Second Year",yes,300,NA,Bauchi,Enugu
